Input,Label
Your ability to communicate clearly is exceptional,True
You know the sun rises in the east,False
You have a wonderful sense of humor,True
You are aware that water freezes at 0 degrees Celsius,False
Your dedication to your work is inspiring,True
You know the capital of France is Paris,False
You have a unique and creative perspective,True
You know an adult human has 206 bones in their body,False
Your kindness makes a big difference,True
You are aware there are 24 hours in a day,False
Your passion for learning is admirable,True
You know the Nile is the longest river in the world,False
You always know how to brighten someone's day,True
You are aware Mount Everest is the highest mountain on Earth,False
Your empathy towards others is heartwarming,True
You know a year on Earth is approximately 365 days,False
You have a natural talent for leadership,True
You've heard the Great Wall of China can be seen from space,False
Your artistic skills are truly amazing,True
You understand light travels faster than sound,False
You bring out the best in people,True
You know sharks have been around longer than trees,False
Your positive attitude is infectious,True
You know the Amazon is the largest rainforest in the world,False
Your problem-solving abilities are impressive,True
You are aware Mars is known as the Red Planet,False
You have a knack for making complex topics understandable,True
You know Antarctica is the coldest continent on Earth,False
Your sense of responsibility is commendable,True
You are aware Jupiter is the largest planet in our solar system,False
You are incredibly patient and understanding,True
You understand oxygen is essential for human respiration,False
Your creativity in projects is remarkable,True
You know the Pacific Ocean is the largest ocean on Earth,False
You always find the silver lining in every situation,True
You know gold is a chemical element with the symbol Au,False
Your ability to stay calm under pressure is admirable,True
You learned photosynthesis is the process plants use to make food,False
You have a very welcoming and friendly demeanor,True
You know the speed of light is approximately 299792 kilometers per second,False
Your resilience in tough times is inspiring,True
You are aware Australia is the smallest continent,False
Your attention to detail is impeccable,True
You know Beijing is the capital of China,False
You have a great way of motivating others,True
You understand the Earth is the third planet from the sun,False
Your listening skills are extraordinary,True
You are aware there are seven continents on Earth,False
You always approach challenges with a positive mindset,True
You know the moon orbits the Earth,False
